"Manufacturer","Year","Name","IPDB","OPDB","InCatalog","Type"
"Juegos Populares","1986","Olympus","5140","GzyBx-M0ow2","False","ss"
"Juegos Populares","1987","Lortium","4104","GRW3o-MQkNr","False","ss"
"Juegos Populares","1987","Quijote","","Gd26q-MP3lX","False","ss"
"Midway","1978","Galaxy Ranger","981","G4ynZ-MLyZb","False","ss"
"Midway","1978","Rotation VIII","2019","G4lnB-MeP1y","False","ss"
"Multimorphic","2017","Barnyard","6452","Glllz-M2Ypn","False","ss"
"Multimorphic","2017","Cannon Lagoon","6450","G6llq-MwNOZ","False","ss"
"Multimorphic","2017","Lexy Lightspeed - Escape From Earth","6449","G4doo-MLEj1","False","ss"
"Multimorphic","2017","Lexy Lightspeed - Secret Agent Showdown","6453","GpeeL-MYez0","False","ss"
"Multimorphic","2018","Cosmic Cart Racing","6665","GPBB9-M5R9v","False","ss"
"Multimorphic","2018","Grand Slam Rally","","GoEEx-MjB52","False","ss"
"Multimorphic","2019","Hoopin' It Up","","G188W-MnK95","False","ss"
"Multimorphic","2020","Heist","6667","G18pJ-Mz2bl","False","ss"
"Multimorphic","2020","ROCs","6451","Gd22x-MNElO","False","ss"
"Multimorphic","2020","Shoot 'n Scoot","","GN66q-MeP0V","False","ss"
"Multimorphic","2021","Heads Up!","","GELLO-M0o1y","False","ss"
"Multimorphic","2021","Sorcerer's Apprentice","","G8llL-MyNwq","False","ss"
"Multimorphic","2022","Weird Al's Museum of Natural Hilarity","","GN6WW-MnKPq","False","ss"
"Multimorphic","2023","Final Resistance","","G187W-MKNro","False","ss"
"Multimorphic","2024","The Princess Bride","","GkBnQ-MBRxV","False","ss"
"Multimorphic","2025","Portal (Extended)","","GpebN-M5RNp","False","ss"
"Multimorphic","2025","Portal (Standard)","","GpebN-Mq1rW","False","ss"
"Pedretti Gaming","2021","Funhouse 2.0 (Rudy's Nightmare)","","G5Dz7-Mz2e1","False","ss"
"Pedretti Gaming","2023","Whirlwind 2.0","","GrE7e-MnKzq","False","ss"
"Pedretti Gaming","2024","Funhouse (Remake)","","G5Dz7-MdEod","False","ss"
"Pedretti Gaming","2026","Tales of the Arabian Nights (Remake)","","G4llj-M3dyz","False","ss"
"Peyper","1985","Odin","4953","GJ2d8-M9RWW","False","ss"
"Peyper","1986","Nemesis","4880","GrOLe-MQK3d","False","ss"
"Peyper","1987","Wolf Man","4435","G4P0b-MD115","False","ss"
"Peyper","1987","Odisea Paris Dakar","4879","G5DKQ-M0o3R","False","ss"
"Pinball Brothers","2021","Alien (Remake)","","G4PBO-MyNeb","False","ss"
"Pinball Brothers","2022","Queen","","GELkO-Ml9zZ","False","ss"
"Pinball Brothers","2024","ABBA","","Ge1py-MkPj1","False","ss"
"Pinball Brothers","2025","Predator","","Gwe3B-MnKrO","False","ss"
"Pinstar","1985","Gamatron","984","GRo6e-MQPov","False","ss"
"Riot Pinball","2015","Wrath of Olympus","6468","G5zyN-MJNxr","False","ss"
"Riot Pinball","2020","Legends of Valhalla","","GWyyq-M4oPo","False","ss"
"Sega","1977","Rodeo","1997","GR9vD-MDbkK","False","ss"
"Sega","1977","Monte Rosa","3416","GrNoL-MJ2by","False","ss"
"Sega","1977","Big Kick","4556","GrX80-MJdnv","False","ss"
"Sega","1977","Nostalgia","4564","G5vqv-MJN3K","False","ss"
"Sega","1977","Big Together","4557","G5bNx-MLzNP","False","ss"
"Sega","1977","Temptation","2513","G42bv-MDb24","False","ss"
"Sega","1978","Mikoshi","4560","G4Z9k-MQjqr","False","ss"
"Sega","1978","Miss Nessie","3408","G4kJ3-MvB72","False","ss"
"Sega","1978","Cha Cha Cha","4559","Grl7B-MYee8","False","ss"
"Sega","1995","Apollo 13","3592","G411e-MJrEL","False","ss"
"Sega","1995","Mary Shelley's Frankenstein","947","GRB7E-MP3rR","False","ss"
"Sega","1995","Baywatch","2848","Grxvy-M4oZj","False","ss"
"Sega","1995","Batman Forever","3593","G59zN-MLy0N","False","ss"
"Sega","1996","Independence Day","3878","G4doQ-MKNN9","False","ss"
"Sega","1996","Twister","3976","GRwbv-MkPP0","False","ss"
"Sega","1996","Goldeneye","3792","G43wE-MQV5K","False","ss"
"Sega","1996","Space Jam","3879","G482d-Mp4kk","False","ss"
"Sega","1997","Starship Troopers","4341","G5we0-MDx6b","False","ss"
"Sega","1997","Star Wars Trilogy","4054","GrybN-MLl5X","False","ss"
"Sega","1997","The Lost World Jurassic Park","4136","G4kBL-MLndo","False","ss"
"Sega","1997","The X Files","4137","G4jPq-MQdlK","False","ss"
"Sega","1998","Viper Night Drivin'","4359","G4Obw-ML83d","False","ss"
"Sega","1998","Godzilla","4443","G5po2-MeP6B","True","ss"
"Sega","1998","Lost In Space","4442","GR91x-MLBZE","False","ss"
"Sega","1998","Golden Cue","4383","GRYzo-MP3p7","False","ss"
"Sega","1999","Harley Davidson","4453","G56lO-Mx00O","False","ss"
"Sega","1999","South Park","4444","G4qbD-MQpxv","False","ss"
"Spooky Pinball","2014","America's Most Haunted","6161","G4ELZ-MQ27w","False","ss"
"Spooky Pinball","2016","Rob Zombie's Spookshow International","6416","G5pp2-ME0eP","False","ss"
"Spooky Pinball","2016","Rob Zombie's Spookshow International (LE)","6417","G5pp2-MBRK4","False","ss"
"Spooky Pinball","2016","Domino's Spectacular Pinball Adventure","6418","GxvQ7-MNE7O","False","ss"
"Spooky Pinball","2017","Total Nuclear Annihilation","6444","GRD79-M0odk","False","ss"
"Spooky Pinball","2017","The Jetsons","6577","GweVl-Mb5lx","False","ss"
"Spooky Pinball","2018","Alice Cooper's Nightmare Castle","6445","GrlXK-M9RV0","False","ss"
"Spooky Pinball","2019","Rick and Morty (SE)","6640","GQKb2-MYek0","False","ss"
"Spooky Pinball","2021","Halloween (SE)","","Gj66Z-Mp4BN","False","ss"
"Spooky Pinball","2021","Ultraman: Kaiju Rumble (SE)","","GBLLd-MdEON","False","ss"
"Spooky Pinball","2023","Scooby-Doo (SE)","","GllPz-MBRrV","False","ss"
"Spooky Pinball","2024","The Texas Chainsaw Massacre (SE)","","G0lkp-MZeqp","False","ss"
"Spooky Pinball","2024","Looney Tunes (SE)","","GJ2K0-M85re","False","ss"
"Spooky Pinball","2024","Evil Dead","","GYWvw-MKNP4","True","ss"
"Spooky Pinball","2025","Beetlejuice","","GqZVo-Mb5xK","True","ss"
"Stern","1999","Harley Davidson","4455","G56lO-MDXpW","False","ss"
"Stern","2000","Striker Xtreme","4459","GRVjq-MDbxp","True","ss"
"Stern","2000","Sharkey's Shootout","4492","GRwv0-MJ99E","False","ss"
"Stern","2001","High Roller Casino","4502","G4JZ4-ML0pL","True","ss"
"Stern","2001","Austin Powers","4504","G43BW-M3dKV","True","ss"
"Stern","2001","Monopoly","4505","G48w3-Mq1Zk","True","ss"
"Stern","2001","NFL","4540","GRVjq-MD0z2","False","ss"
"Stern","2002","Playboy","4506","GrPKO-MLO5X","True","ss"
"Stern","2002","Harley-Davidson (3rd Edition)","5277","G56lO-Mq153","False","ss"
"Stern","2002","Harley-Davidson (2nd Edition)","4664","G56lO-MZeRq","False","ss"
"Stern","2002","RollerCoaster Tycoon","4536","Grybw-M5R0n","True","ss"
"Stern","2003","The Simpsons Pinball Party","4674","GRvBL-MP3Ev","True","ss"
"Stern","2003","Terminator 3: Rise of the Machines","4787","GR91N-MLOyE","True","ss"
"Stern","2003","Lord of the Rings","4858","GrqZX-MD15w","False","ss"
"Stern","2004","Ripley's Believe It or Not!","4917","GRWyB-MLz6Z","True","ss"
"Stern","2004","Elvis","4983","G4qbX-MJw5r","True","ss"
"Stern","2005","The Sopranos","5053","G5WoB-MDyNZ","True","ss"
"Stern","2005","Nascar","5093","G5YWX-MQ4VW","True","ss"
"Stern","2005","Grand Prix","5120","G5YWX-MDxXX","True","ss"
"Stern","2006","World Poker Tour","5134","G5poe-MQrb5","True","ss"
"Stern","2006","Pirates of the Caribbean","5163","GR7ZX-MQ23b","False","ss"
"Stern","2007","Dale Jr.","5292","G5YWX-MQj9k","False","ss"
"Stern","2007","Family Guy","5219","G5LW9-MQ6N5","True","ss"
"Stern","2007","Spider-Man","5237","G5D94-MLnXq","True","ss"
"Stern","2007","Spider-Man (Black Suited LE)","5650","G5D94-MyNBN","False","ss"
"Stern","2007","Wheel of Fortune","5254","G417d-MJkXV","True","ss"
"Stern","2008","Shrek","5301","G5LW9-ML371","True","ss"
"Stern","2008","Indiana Jones","5306","G4e1d-MJ5Bj","True","ss"
"Stern","2008","Batman: The Dark Knight","5307","G4yVw-M85j8","False","ss"
"Stern","2008","CSI: Crime Scene Investigation","5348","GRokz-ML8oW","False","ss"
"Stern","2009","24","5419","GrEkZ-ML13O","True","ss"
"Stern","2009","NBA","5442","G5K19-MBRlz","True","ss"
"Stern","2009","Lord of the Rings (LE)","5558","GrqZX-MDEPd","False","ss"
"Stern","2010","Iron Man Classic","5652","GRVq4-MDRKr","False","ss"
"Stern","2010","Batman (Standard Model)","5583","G4yVw-MQY90","False","ss"
"Stern","2010","Big Buck Hunter Pro","5513","G4N6n-MLxER","False","ss"
"Stern","2010","Iron Man","5550","GRVq4-MLyxq","True","ss"
"Stern","2010","James Cameron's Avatar","5618","GrZBr-MDbx7","False","ss"
"Stern","2010","James Cameron's Avatar (LE)","5653","GrZBr-MyNZz","False","ss"
"Stern","2011","The Rolling Stones (LE)","5708","GredR-Mb5jN","False","ss"
"Stern","2011","The Rolling Stones","5668","GredR-MDE2K","True","ss"
"Stern","2011","Disney TRON: Legacy","5682","GrkL5-MLvrX","False","ss"
"Stern","2011","Disney TRON: Legacy (LE)","5707","GrkL5-MJoNN","False","ss"
"Stern","2011","Transformers","5709","GRnPz-MLBzV","True","ss"
"Stern","2011","Transformers (LE)","5753","GRnPz-Mx0XO","False","ss"
"Stern","2012","Transformers The Pin","5861","Grd2o-MQK8Z","False","ss"
"Stern","2012","AC/DC (LE)","5777","G43W4-MrRpw","False","ss"
"Stern","2012","AC/DC (Pro)","5767","G43W4-MKNW0","False","ss"
"Stern","2012","The Avengers (Premium)","5939","GRzNR-Mz2WY","False","ss"
"Stern","2012","AC/DC (Premium)","5775","G43W4-MXrPx","False","ss"
"Stern","2012","X-Men","5822","Grj6X-MJwj5","True","ss"
"Stern","2012","X-Men (LE)","","Grj6X-MJNV1","False","ss"
"Stern","2012","The Avengers","5938","GRzNR-MLlEj","False","ss"
"Stern","2012","The Avengers (LE)","5940","GRzNR-MyNq8","False","ss"
"Stern","2013","Metallica (LE)","6031","GRBE4-MOE4l","False","ss"
"Stern","2013","Star Trek (LE)","6046","Gryw4-MNEKn","False","ss"
"Stern","2013","Metallica (Pro)","6028","GRBE4-MQK1Z","False","ss"
"Stern","2013","Metallica (Premium)","6029","GRBE4-MJ9rE","False","ss"
"Stern","2013","Star Trek (Pro)","6044","Gryw4-MwNky","False","ss"
"Stern","2013","Star Trek (Premium)","6045","Gryw4-MRj4O","False","ss"
"Stern","2014","Mustang (Premium)","6099","GrPOR-M61Pw","False","ss"
"Stern","2014","Iron Man (Vault)","6154","GRVq4-M4oNp","False","ss"
"Stern","2014","Mustang (Pro)","6098","GrPOR-MJK2k","False","ss"
"Stern","2014","Mustang (LE)","6100","GrPOR-MLq5x","False","ss"
"Stern","2014","The Walking Dead (Pro)","6155","G5nz5-M3d38","False","ss"
"Stern","2014","The Walking Dead (LE)","6156","G5nz5-MP3r1","False","ss"
"Stern","2015","Game of Thrones (Premium)","6308","G41d5-M0ovk","False","ss"
"Stern","2015","The Walking Dead (Premium)","6201","G5nz5-M7Z94","False","ss"
"Stern","2015","WrestleMania","6215","GR6Or-MwNex","False","ss"
"Stern","2015","Legends of Wrestlemania","6216","GR6Or-MKNYR","False","ss"
"Stern","2015","Whoa Nellie! Big Juicy Melons","6252","GRYX4-MLqqx","False","ss"
"Stern","2015","KISS (Premium)","6266","G4qX5-MJN17","False","ss"
"Stern","2015","KISS (Pro)","6265","G4qX5-Mz2Pp","False","ss"
"Stern","2015","KISS (LE)","6267","G4qX5-Ml9jb","False","ss"
"Stern","2015","Game Of Thrones (Pro)","6307","G41d5-MKNwX","False","ss"
"Stern","2015","Game of Thrones (LE)","6309","G41d5-M9REd","False","ss"
"Stern","2016","Ghostbusters (LE)","6334","GR9Nr-MVKol","False","ss"
"Stern","2016","Ghostbusters (Premium)","6333","GR9Nr-M5RxE","False","ss"
"Stern","2016","Ghostbusters (Pro)","6332","GR9Nr-Mz2dY","False","ss"
"Stern","2016","Batman 66 (LE)","6355","GRoz4-MrRPw","False","ss"
"Stern","2016","Spider-Man (Vault Edition)","6328","G5D94-M3d5w","False","ss"
"Stern","2016","Batman 66 (Premium)","6354","GRoz4-MjBV6","False","ss"
"Stern","2016","Pabst Can Crusher","6335","GRYX4-MRjVP","False","ss"
"Stern","2016","Spider-Man (Home Edition)","6438","G2Ld3-MnKE5","False","ss"
"Stern","2017","Aerosmith","6370","Gr16e-MnKEX","True","ss"
"Stern","2017","Aerosmith (LE)","6372","Gr16e-M5Rbv","False","ss"
"Stern","2017","Aerosmith (Premium)","6371","Gr16e-Mq1k3","False","ss"
"Stern","2017","AC/DC (Pro Vault Edition)","6439","G43W4-MKNX0","False","ss"
"Stern","2017","Star Wars (Pro)","6428","G5vLR-MwNwy","False","ss"
"Stern","2017","AC/DC (Premium Vault Edition)","6440","G43W4-MdEjy","False","ss"
"Stern","2017","Star Wars (LE)","6430","G5vLR-MZebq","False","ss"
"Stern","2017","Star Wars (Premium)","6429","G5vLR-ME049","False","ss"
"Stern","2017","Guardians of the Galaxy","6474","GRWvz-Mp4yl","True","ss"
"Stern","2017","Guardians of the Galaxy (LE)","6476","GRWvz-MP37P","False","ss"
"Stern","2017","Guardians of the Galaxy (Premium)","6475","GRWvz-Mx0eb","False","ss"
"Stern","2018","Iron Maiden: Legacy of the Beast (LE)","6557","G4dOQ-MW970","False","ss"
"Stern","2018","Iron Maiden: Legacy of the Beast","6555","G4dOQ-MyNbb","False","ss"
"Stern","2018","Iron Maiden: Legacy of the Beast (Premium)","6556","G4dOQ-MkPxr","False","ss"
"Stern","2018","Supreme x Stern","6609","G3EnZ-MePOV","False","ss"
"Stern","2018","Star Trek (Vault)","","Gryw4-MOE7P","False","ss"
"Stern","2018","Star Trek (Premium Vault)","","Gryw4-MwNwZ","False","ss"
"Stern","2018","Deadpool (Premium)","6559","G6lnq-MRj7Z","False","ss"
"Stern","2018","Deadpool (Pro)","6558","G6lnq-Mq1kv","False","ss"
"Stern","2018","Deadpool (LE)","6560","G6lnq-M6153","False","ss"
"Stern","2018","The Beatles (Gold)","6561","G0l8P-M85d9","False","ss"
"Stern","2018","Primus","6610","GRYX4-MvBpz","False","ss"
"Stern","2019","The Munsters (Pro)","6564","GbPde-M5Rkv","False","ss"
"Stern","2019","The Munsters (Premium/LE)","6565","GbPde-Mp43l","False","ss"
"Stern","2019","Black Knight: Sword of Rage (Pro)","6567","GD7Ld-ME0BP","False","ss"
"Stern","2019","Black Knight: Sword of Rage (Premium)","6568","GD7Ld-MBRP4","False","ss"
"Stern","2019","Star Wars (Home Edition)","6611","GpePX-MnKq5","False","ss"
"Stern","2019","Jurassic Park (Premium/LE)","6574","GK17D-MKNKd","False","ss"
"Stern","2019","Jurassic Park (Pro)","6573","GK17D-MdEqz","False","ss"
"Stern","2019","Elvira's House of Horrors (Premium/LE)","","GZVOd-MwNxZ","False","ss"
"Stern","2019","Stranger Things (Pro)","6642","Gzy89-MNEeO","False","ss"
"Stern","2019","Stranger Things (Premium/LE)","6643","Gzy89-M0oPy","False","ss"
"Stern","2020","Teenage Mutant Ninja Turtles (Pro)","6730","Gd2Xb-Mq1qv","False","ss"
"Stern","2020","Heavy Metal","6733","GoEej-Mo1q0","False","ss"
"Stern","2020","Teenage Mutant Ninja Turtles (Premium/LE)","6731","Gd2Xb-MRjpZ","False","ss"
"Stern","2020","Avengers: Infinity Quest (Pro)","6754","Gj66P-M3dxn","False","ss"
"Stern","2020","Avengers: Infinity Quest (Premium/LE)","6755","Gj66P-MXr0E","False","ss"
"Stern","2020","Led Zeppelin (Pro)","6760","Gweel-M9Rk0","False","ss"
"Stern","2020","Led Zeppelin (Premium/LE)","6762","Gweel-ME0pP","False","ss"
"Stern","2021","The Mandalorian (Pro)","6828","GBLLP-MkPpr","False","ss"
"Stern","2021","The Mandalorian (Premium/LE)","6829","GBLLP-MW900","False","ss"
"Stern","2021","Godzilla (Premium/LE)","","GweeP-Ml9pZ","False","ss"
"Stern","2021","Godzilla (Pro)","6841","GweeP-MW95j","False","ss"
"Stern","2021","Jurassic Park (Home Edition)","6847","GxvvB-MOEKX","False","ss"
"Stern","2022","Rush (Pro)","6844","G2Lkd-MNEdK","False","ss"
"Stern","2022","Rush (Premium/LE)","","G2Lkd-M0ope","False","ss"
"Stern","2022","James Bond 007 (Premium/LE)","","GQKyP-MP3OK","False","ss"
"Stern","2022","James Bond 007 (Pro)","6896","GQKyP-Mx0O4","False","ss"
"Stern","2022","James Bond 007 (60th Anniversary LE)","","Ge1Dy-M9Rrp","False","ss"
"Stern","2023","Foo Fighters (Premium/LE)","","GpeoL-MkPz1","False","ss"
"Stern","2023","Foo Fighters (Pro)","","GpeoL-MyNPq","False","ss"
"Stern","2023","Venom (Premium/LE)","","G3EBl-MRj6e","False","ss"
"Stern","2023","Venom (Pro)","7064","G3EBl-Mq1zy","False","ss"
"Stern","2024","JAWS (Premium/LE)","","GLWll-M1r8O","False","ss"
"Stern","2024","JAWS (Pro)","","GLWll-MXr4N","False","ss"
"Stern","2024","John Wick (Pro)","","GQK1P-MW9pj","False","ss"
"Stern","2024","John Wick (Premium/LE)","","GQK1P-Ml95Z","False","ss"
"Stern","2024","The Uncanny X-Men (Pro)","","G7ZEz-MBRYn","False","ss"
"Stern","2024","The Uncanny X-Men (Premium/LE)","","G7ZEz-MyN3K","False","ss"
"Stern","2024","Metallica Remastered (Premium/LE)","","GO0q3-MOEy8","False","ss"
"Stern","2025","Dungeons & Dragons: The Tyrant's Eye (Premium/LE)","","GK1Ej-MePok","False","ss"
"Stern","2025","Dungeons & Dragons: The Tyrant's Eye (Pro)","","GK1Ej-MwNZr","False","ss"
"Stern","2025","King Kong: Myth of Terror Island (Pro)","","GEL0V-MBRyb","False","ss"
"Stern","2025","King Kong: Myth of Terror Island (Premium/LE)","","GEL0V-MyN8E","False","ss"
"Stern","2025","Star Wars: Fall of the Empire (Pro)","","Gxv81-M610r","False","ss"
"Stern","2025","Star Wars: Fall of the Empire (Premium/LE)","","Gxv81-Mo1rp","False","ss"
"Stern","2025","The Walking Dead Remastered (Premium/LE)","","Gj6DE-MePEz","False","ss"
"Stern","2026","Pokémon (Pro)","","GV8wB-Mq12N","False","ss"
"Stern","2026","Pokémon (Premium/LE)","","GV8wB-MRjKd","False","ss"
"Stern","2026","Transformers: More Than Meets the Eye (Premium/LE)","","GBLzz-M4ok4","False","ss"
"Stern","2026","Transformers: More Than Meets the Eye (Pro)","","GBLzz-M7Zd5","False","ss"
"Stern Electronics","1977","Stingray","2377","G57lj-MJwxY","False","ss"
"Stern Electronics","1977","Pinball","1792","GrZXj-Mq11k","False","ss"
"Stern Electronics","1978","Wild Fyre","2783","GrOwV-Ml9kO","False","ss"
"Stern Electronics","1978","Nugent","1687","G5VWL-MLRjl","False","ss"
"Stern Electronics","1978","Lectronamo","1429","GRWd2-MQ4Ye","False","ss"
"Stern Electronics","1978","Stars","2366","GrXEW-MDEwr","False","ss"
"Stern Electronics","1978","Memory Lane","1570","Gry0Z-MP3zR","False","ss"
"Stern Electronics","1979","Dracula","728","G4Zl2-Ml90d","False","ss"
"Stern Electronics","1979","Magic","1509","G4eyp-MJ7XY","False","ss"
"Stern Electronics","1979","Meteor","1580","G5b38-MDqkx","False","ss"
"Stern Electronics","1979","Trident","2644","GR0KD-MJpnr","False","ss"
"Stern Electronics","1979","Hot Hand","1244","GRvNk-MQkro","False","ss"
"Stern Electronics","1980","Galaxy","980","GrdDB-ML8xK","False","ss"
"Stern Electronics","1980","Flight 2000","887","G48kY-MDxRV","False","ss"
"Stern Electronics","1980","Star Gazer","2346","GrZY2-ML0Rb","False","ss"
"Stern Electronics","1980","Big Game","249","G4jQw-MJ5rl","False","ss"
"Stern Electronics","1980","Ali","43","G43kO-MQ50p","False","ss"
"Stern Electronics","1980","Seawitch","2089","GR6kB-MDz81","False","ss"
"Stern Electronics","1980","Cheetah","500","GR6kW-Mo1W3","False","ss"
"Stern Electronics","1980","Quicksilver","1895","GRBZl-Mb5Zq","False","ss"
"Stern Electronics","1980","Nine Ball","1678","G4jjx-MDbz2","False","ss"
"Stern Electronics","1981","Freefall","953","G5W9p-MJw0B","False","ss"
"Stern Electronics","1981","Viper","2739","G5vXB-MLEve","False","ss"
"Stern Electronics","1981","Catacomb","469","GRoQ6-MLx0X","False","ss"
"Stern Electronics","1981","Split Second","2297","GRLbz-MDnxo","False","ss"
"Stern Electronics","1981","Lightning","1441","G5pQ8-Mq14e","False","ss"
"Stern Electronics","1981","Iron Maiden","1270","G4yZN-MDEP7","True","ss"
"Stern Electronics","1982","Dragonfist","731","GRQkJ-MDxpK","False","ss"
"Stern Electronics","1982","Cue","3873","G4kqd-MDB6w","False","ss"
"Stern Electronics","1982","Orbitor 1","1725","Grx7Q-Mp45k","False","ss"
"Williams","1975","Valencia","2714","G5nj6-MLnwY","False","ss"
"Williams","1975","Black Gold","306","G4qy6-MLvvd","False","ss"
"Williams","1976","Aztec (SS)","4828","GRpLk-Mz257","False","ss"
"Williams","1977","Hot Tip","3163","Grep0-MQYN4","False","ss"
"Williams","1978","Pokerino","1839","G5pn8-MJ5P4","False","ss"
"Williams","1978","Phoenix","1780","GRQp6-MJ5Wq","False","ss"
"Williams","1978","Disco Fever","686","G5o9o-MQpN2","False","ss"
"Williams","1978","Lucky Seven","1491","G5D3O-MJKe0","False","ss"
"Williams","1978","Contact","558","G5v02-MDnyO","False","ss"
"Williams","1978","World Cup","2810","GrNqO-MRjzl","False","ss"
"Williams","1979","Laser Ball","1413","GRBXl-MLq9k","False","ss"
"Williams","1979","Flash","871","Grypn-MQdbe","False","ss"
"Williams","1979","Gorgar","1062","G5zd6-MJVo4","False","ss"
"Williams","1979","Stellar Wars","2372","G4lLp-MQ5Xy","False","ss"
"Williams","1979","Tri Zone","2641","GrxNK-MLEzY","False","ss"
"Williams","1979","Time Warp","2568","G5wJo-MQdvv","False","ss"
"Williams","1980","Black Knight","310","GrO7w-M9R03","False","ss"
"Williams","1980","Alien Poker","48","G4yen-MD12Y","False","ss"
"Williams","1980","Algar","42","G5nQQ-MLbbp","False","ss"
"Williams","1980","Firepower","856","G5VDd-MJpqO","False","ss"
"Williams","1980","Blackout","317","GRwYo-MQoPw","False","ss"
"Williams","1980","Scorpion","2067","G4qQj-MD8XD","False","ss"
"Williams","1981","Barracora","177","GRo7K-MQ4e3","False","ss"
"Williams","1981","Jungle Lord","1338","G5nkY-MDv88","False","ss"
"Williams","1981","Pharaoh","1778","G41vn-MD1jB","False","ss"
"Williams","1981","Black Knight (LE)","3799","GrO7w-MDR9W","False","ss"
"Williams","1981","Solar Fire","2238","GRB26-MQPwX","False","ss"
"Williams","1982","Warlok","2754","G5z2e-MJ2lR","False","ss"
"Williams","1982","Defender","651","G5p7D-MJNVo","False","ss"
"Williams","1982","Varkon","2721","G5Lvz-MQkvB","False","ss"
"Williams","1982","Thunderball","2554","G4J3k-MLnnX","False","ss"
"Williams","1982","Cosmic Gunfight","571","GRv7B-MLqPd","False","ss"
"Williams","1983","Joust","1316","G4den-MLRYK","False","ss"
"Williams","1983","Firepower II","857","GRWYk-Mb5OV","False","ss"
"Williams","1983","Time Fantasy","2563","G42Nz-MNEpl","False","ss"
"Williams","1984","Space Shuttle","2260","G4q3L-MKN50","False","ss"
"Williams","1984","Laser Cue","1414","GRvJV-MJ4bR","False","ss"
"Williams","1984","Star Light","2362","GRB86-MJ2nw","False","ss"
"Williams","1985","Sorcerer","2242","G4qxv-MJPyv","False","ss"
"Williams","1985","Comet","548","Gryd3-MLqjd","False","ss"
"Williams","1986","High Speed","1176","GRvzd-MLxV8","False","ss"
"Williams","1986","Grand Lizard","1070","G4XPZ-M7Zob","False","ss"
"Williams","1986","Road Kings","1970","G4NKJ-Mo1Xj","False","ss"
"Williams","1986","Pinbot","1796","G41Z8-MJKvP","False","ss"
"Williams","1987","Space Station","2261","G5QXO-MQowd","False","ss"
"Williams","1987","Millionaire","1597","G5n38-M1rw3","False","ss"
"Williams","1987","Fire!","859","G41Lo-MJp3y","False","ss"
"Williams","1987","Fire! Champagne Edition","860","G41Lo-MDerP","False","ss"
"Williams","1987","F-14 Tomcat","804","GRY2O-MLWdy","False","ss"
"Williams","1987","Big Guns","250","G4d8k-MJ5Z8","False","ss"
"Williams","1988","Jokerz!","1308","Gry3j-Mq1Oe","False","ss"
"Williams","1988","Taxi","2505","GrN90-MJrnj","False","ss"
"Williams","1988","Cyclone","617","G4O2b-MJpn4","False","ss"
"Williams","1988","Banzai Run","175","GR9lZ-MkP2j","False","ss"
"Williams","1988","Swords of Fury","2486","GrPzV-MDxj7","False","ss"
"Williams","1989","Bad Cats","127","GrEBz-MBR3N","False","ss"
"Williams","1989","Black Knight 2000","311","GrxPP-Ml91r","False","ss"
"Williams","1989","Police Force","1841","G4d8d-MVKOR","False","ss"
"Williams","1989","Earthshaker","753","GRw0r-Mp42p","False","ss"
"Williams","1990","Whirlwind","2765","GrE7e-MQ9N1","False","ss"
"Williams","1990","Riverboat Gambler","1966","G4E0z-MDvl7","False","ss"
"Williams","1990","Diner","681","GRWBd-MLy5p","False","ss"
"Williams","1990","Rollergames","2006","Gr1Ko-MnKyx","False","ss"
"Williams","1990","Funhouse","966","G5Dz7-Mq139","False","ss"
"Williams","1991","Bride of Pinbot","1502","GRpee-MePdR","False","ss"
"Williams","1991","Terminator 2: Judgment Day","2524","GR9Bx-MQkd5","False","ss"
"Williams","1991","Hurricane","1257","GrX09-M85bb","False","ss"
"Williams","1992","Fish Tales","861","G5Wxd-MLxl3","False","ss"
"Williams","1992","The Getaway: High Speed II","1000","Grx8Y-MKNe9","False","ss"
"Williams","1993","White Water","2768","GRQKz-MyNXz","False","ss"
"Williams","1993","Star Trek: The Next Generation","2357","GR6d8-M1rZd","False","ss"
"Williams","1993","Bram Stoker's Dracula","3072","G41do-MP3Py","False","ss"
"Williams","1993","Indiana Jones: The Pinball Adventure","1267","G4xZy-MLno6","False","ss"
"Williams","1994","Red & Ted's Road Show","1972","G4dWd-MJ2p6","False","ss"
"Williams","1994","Demolition Man","662","G5bv3-MLW68","False","ss"
"Williams","1994","The Flintstones","888","GRK95-MQ674","False","ss"
"Williams","1995","Jack•Bot","3619","GRKOX-MLyrW","False","ss"
"Williams","1995","Johnny Mnemonic","3683","GR6W8-Mb55B","False","ss"
"Williams","1995","Dirty Harry","684","GrJ2Z-M61Xd","False","ss"
"Williams","1995","No Fear: Dangerous Sports","2852","Gr2Y2-MDxZq","False","ss"
"Williams","1995","Congo","3780","GrNd0-MJNW1","False","ss"
"Williams","1996","Junk Yard","4014","GRLlj-MQZN8","False","ss"
"Williams","1996","Tales of the Arabian Nights","3824","G4llj-MQYb2","False","ss"
"Williams","1997","No Good Gofers","4338","G57X4-MLb1y","False","ss"
"Williams","1997","Medieval Madness","4032","G5pe4-MePZv","False","ss"
"Williams","1998","Monster Bash","4441","Gr3EW-MD3Nj","False","ss"
"Williams","1999","Star Wars Episode I","4458","GRL9r-MD34z","False","ss"
"Williams","2013","Metallica (Retheme)","5478","GRw0r-Mo1V7","False","ss"
"Zaccaria","1978","Ski Jump","3637","G59y1-MQ2VY","False","ss"
"Zaccaria","1978","Future World","3613","G5Kl7-MDxel","False","ss"
